Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
Blow down valve kit E11 to E110,Valve kits,,,Pieces,12,India,,20/09/2021,7.368,VAT 5%,5,,25.788,,,220371089,
Minimum pressure valve kit E11 to E55,Valve kits,,,Pieces,8,India,,20/09/2021,6.263,VAT 5%,5,,21.9205,,,220210529,
Minimum pressure Assembly E11 to E55,Valve kits,,,,,India,,20/09/2021,23.579,VAT 5%,5,,82.5265,,,22021052A,
Spider coupling G48( E11 &E37),Coupling,,,Pieces,19,India,,20/09/2021,5.158,VAT 5%,5,,18.053,,,12437520,
Drive coupling EG55 to EG90,Coupling,,,,,,,20/09/2021,11.789,VAT 5%,5,,41.2615,,,B005401170005,
Spider coupling GR 55(E55 & E75),Coupling,,,Pieces,9,India,,20/09/2021,5.526,VAT 5%,5,,19.341,,,12437610,
"Pipe coupling 2 1/2""",Coupling,,,Pieces,1,Oman,,20/09/2021,0,VAT 5%,5,,0,,,B56XX05,
"N.R.V assembly 1 1/2""",Safety valves,,,Pieces,1,India,,20/09/2021,21.737,VAT 5%,5,,76.0795,,,,
"N.R.V 1/8""(Return oil hose)",Safety valves,,,Pieces,3,India,,20/09/2021,3.316,VAT 5%,5,,11.606,,,B004100170001,
N.R.V 1/4'',Safety valves,,,Pieces,4,India,,20/09/2021,3.095,VAT 5%,5,,10.8325,,,B4411701,
Thermostiatic valve kit F 149,Valve kits,,,Pieces,3,Tulasi,,20/09/2021,15.474,VAT 5%,5,,54.159,,,B008706030003,
Thermostiatic valve F 125,Valve kits,,,Pieces,2,Tulasi,,20/09/2021,0,VAT 5%,5,,0,,,22032292 0 ,
Oil level indicator,Oil level indicator,,,Pieces,21,Tulasi,,20/09/2021,0.368,VAT 5%,5,,1.288,,,00 05 1344 0 ,
DUV com solenoid valve,Valve kits,,,Pieces,1,Tulasi,,20/09/2021,14.368,VAT 5%,5,,50.288,,,02243225 0,
Dryer controller,Controller,,,Pieces,5,Tulasi,,20/09/2021,0,VAT 5%,5,,0,,,,
Solenoid valve 220v,Valve kits,,,,,Rotex,,20/09/2021,20.632,VAT 5%,5,,72.212,,,B738207,
Intake valve seal kit,Valve kits,,,Pieces,,Oman,,20/09/2021,0,VAT 5%,5,,0,,,972300090.A,
BDV Seal kit,Valve kits,,,Pieces,,Oman,,20/09/2021,0,VAT 5%,5,,0,,,972300030.A,
Butterfly valve 4'' dd,Valve kits,,,,,,,20/09/2021,21,VAT 5%,5,,73.5,,,220210470,
Autuator assembly dd,Valve kits,,,,,,,20/09/2021,35.368,VAT 5%,5,,123.788,,,A0030006,
Regulator assembly,Valve kits,,,,,,,20/09/2021,23.579,VAT 5%,5,,82.5265,,,220317590,
Actuator assembly,Valve kits,,,Pieces,1,ELGI,,20/09/2021,0,VAT 5%,5,,0,,,972300070,
"Valve assembly,breather",Valve kits,,,Pieces,,Tulasi,,20/09/2021,0,VAT 5%,5,,0,,,A 020030,
Valve breather,Valve kits,,,Pieces,16,Tulasi,,20/09/2021,0,VAT 5%,5,,0,,,00051006 0,
Reverse Rotation switch,Safety valves,,,Pieces,4,Tulasi,,20/09/2021,4.421,VAT 5%,5,,15.4735,,,8941151,
Temperature sensar,sensars,,,Pieces,2,Tulasi,,20/09/2021,34.632,VAT 5%,5,,121.212,,,B000505600008,
Pressure sensar,sensars,,,Pieces,3,Tulasi,,20/09/2021,38.684,VAT 5%,5,,135.394,,,B000505600007,
Air filter,Filters,,,Pieces,51,Tulasi,,20/09/2021,1.326,VAT 5%,5,,4.641,,,00031782 0,Reci
Disc valve assembly dia 100,Valve kits,,,Pieces,4,Tulasi,,20/09/2021,23.579,VAT 5%,5,,82.5265,,,A 020569,
Oil 1litres,Lubricants,,,Pieces,0,Oman,,20/09/2021,0,VAT 5%,5,,0,,,,
Valve finger dia 100,Valve kits,,,Pieces,0,Tulasi,,20/09/2021,0.368,VAT 5%,5,,1.288,,,00033097 0,
Valve finger dia 70,Valve kits,,,Pieces,0,Tulasi,,20/09/2021,0.368,VAT 5%,5,,1.288,,,00033096 0,
"Safety valve 1/2""",Safety valves,,,Pieces,8,Tulasi,,20/09/2021,4.605,VAT 5%,5,,16.1175,,,A020244,
"Safety valve 3/4""",Safety valves,,,Pieces,8,Tulasi,,20/09/2021,5.895,VAT 5%,5,,20.6325,,,A020245,
"Safety valve 3/8""",Safety valves,,,,,,,20/09/2021,2.358,VAT 5%,,,8.253,,,A02045,
"Safety valve 1""",Safety valves,,,Pieces,0,Tulasi,,20/09/2021,0,VAT 5%,5,,0,0,,A010107,
"Safety valve 1/4""",Safety valves,,,Pieces,0,Tulasi,,20/09/2021,2.211,VAT 5%,5,,7.7385,2.984210526,,A020241,
Air filter,Filters,,,Pieces,1,ELGI,,20/09/2021,0,VAT 5%,5,,0,0,,,
Oil filter cartridge,Filters,,,Pieces,1,MANN,,20/09/2021,0,VAT 5%,5,,0,0,,220220330,C 25740
Solinoid valve 24v AC,Valve kits,,,Pieces,7,ELGI,,20/09/2021,3.684,VAT 5%,5,,12.894,4.973684211,,B007300990017,
Solinoid valve 24v DC,Valve kits,,,Pieces,4,Rutex,,20/09/2021,0,VAT 5%,5,,0,0,,,
Piston dia 100,Pistons,,,Pieces,1,Rutex,,20/09/2021,0,VAT 5%,5,,0,0,,20494560,
Piston dia 70,Pistons,,,Pieces,5,Tulasi,,20/09/2021,7.368,VAT 5%,5,,25.788,9.947368421,,477750,
Piston rings 100mm,Pistons Rings,,,Pieces,2,Tulasi,,20/09/2021,4.789,VAT 5%,5,,16.7615,6.465789474,,22434139,
Piston rings 70mm,Pistons Rings,,,Pieces,4,Tulasi,,20/09/2021,2.505,VAT 5%,5,,8.7675,3.382105263,,22401049,
"Oil seal TS 10 , TS 15",Oil seal,,,Pieces,2,Tulasi,,20/09/2021,1.916,VAT 5%,5,,6.706,2.586315789,,,
Cool and filter,Filters,,,Pieces,6,Tulasi,,20/09/2021,0,VAT 5%,5,,0,0,,23424922,
Temperature switch ,Pressure switch,,,Pieces,1,IR,,20/09/2021,0,VAT 5%,5,,0,0,,B171901,
Pressure switch,Pressure switch,,,Pieces,1,Tulasi,,20/09/2021,21.737,VAT 5%,5,,76.0795,29.34473684,,A020018,
"PRE Filter 1 1/2""",Filters,,,Pieces,1,ELGI,,20/09/2021,15.474,VAT 5%,5,,54.159,20.88947368,,,
"Fine Filter 1 1/2""",Filters,,,Pieces,1,,,20/09/2021,0,VAT 5%,5,,0,0,,,
"After Filter 1 1/2""",Filters,,,Pieces,3,,,20/09/2021,0,VAT 5%,5,,0,0,,,
"N.R.V 1"" Assembly",Safety valves,,,Pieces,1,,,20/09/2021,0,VAT 5%,5,,0,0,,A020559,
Air filter,Filters,,,Pieces,2,ELGI,,20/09/2021,14.368,VAT 5%,5,,50.288,19.39736842,,,
Vacuum indicator,Vacuum indicator,,,Pieces,1,Ecoguard,,20/09/2021,0,VAT 5%,5,,0,0,,,A44462
Coolant 4 litre,Lubricants,,,Pieces,2,,,20/09/2021,0,VAT 5%,5,,0,0,,,
Temperature switch ,Pressure switch,,,Pieces,2,,,20/09/2021,0,VAT 5%,5,,0,0,,,
"Oil level class 1 1/2""",Oil level indicator,,,Pieces,1,,,20/09/2021,0,VAT 5%,5,,0,0,,A010018,
Oil separator E 11,Filters,,,Pieces,1,Tulasi,,20/09/2021,0,VAT 5%,5,,0,0,,,
Compressor below E 75,,,,Pieces,2,,,20/09/2021,0,VAT 5%,5,,0,0,,,LB962/2
Bearing retainer,Airend paste,,,Pieces,1,,,20/09/2021,0,VAT 5%,5,,0,0,,,
Anabond 341,Airend paste,,,Pieces,7,,,20/09/2021,0,VAT 5%,5,,0,0,,,
Anabond 412,Airend paste,,,,,,,20/09/2021,1.842,VAT 5%,5,,6.447,2.486842105,,,
Anabond 115,Airend paste,,,,,,,20/09/2021,2.063,VAT 5%,5,,7.2205,2.785263158,,,
Anabond 683,Airend paste,,,,,,,20/09/2021,2.8,VAT 5%,5,,9.8,3.78,,,
Elgi TS15 pipe after coolpipe 1,Pipes,,,Pieces,1,,,20/09/2021,2.947,VAT 5%,5,,10.3145,3.978947368,,22434449,
TS 15 pipe 2,Pipes,,,Pieces,2,,,20/09/2021,13.263,VAT 5%,5,,46.4205,17.90526316,,22434539,
Compressor Oil (20 litres),Lubricants,,,Pieces,2,,,20/09/2021,0,VAT 5%,5,,0,0,,,
Air Compressor-columbia 10HP,Compressor,,,Pieces,40,,,20/09/2021,0,VAT 5%,5,,0,0,,,
Oil separator EN02 to EN7.5,,,,Pieces,2,,,20/09/2021,0,VAT 5%,5,,0,0,,,
Belt High pressure,,,,,,,,,,,,,0,,,,
Belt,,,,,,,,,,,,,0,,,,
Pressure switch ALFA,,,,,,,,,,,,,0,,,,
"N.R.V assembly 1 1/2""",,,,,,,,,,,,,0,,,,
Dryer controller,,,,,,,,,,,,,0,,,,
Oil,,,,,,,,,,,,,0,,,,
Air filter,,,,,,,,,,,,,0,,,,
Solinoid valve 24v DC,,,,,,,,,,,,,0,,,,
"Oil seal TS 10 , TS 15",,,,,,,,,,,,,0,,,,
"PRE Filter 1 1/2""",,,,,,,,,,,,,0,,,,
"Fine Filter 1 1/2""",,,,,,,,,,,,,0,,,,
"After Filter 1 1/2""",,,,,,,,,,,,,0,,,,
Vacuum indicator,,,,,,,,,,,,,0,,,,
Coolant 4 liter,,,,,,,,,,,,,0,,,,
Temperature switch ,,,,,,,,,,,,,0,,,,
