Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
"Oil level class 1 1/2""",Oil level indicator,,,Pieces,1,Tulasi,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,A010018,
Oil separator E 11,Filters,,,Pieces,2,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,LB962/2
Compressor below E 75,,,,Pieces,1,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Bearing retainer,Airend paste,,,Pieces,7,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Anabond 341,Airend paste,,,,,,,20/09/2021,1.842,VAT 5%,5,,2.487,2.486842105,,,
Anabond 412,Airend paste,,,,,,,20/09/2021,2.063,VAT 5%,5,,2.785,2.785263158,,,
Anabond 115,Airend paste,,,,,,,20/09/2021,2.800,VAT 5%,5,,3.780,3.78,,,
Anabond 683,Airend paste,,,Pieces,1,,,20/09/2021,2.947,VAT 5%,5,,3.979,3.978947368,,,
Elgi TS15 pipe after coolpipe 1,Pipes,,,Pieces,2,,,20/09/2021,13.263,VAT 5%,5,,17.905,17.90526316,,22434449,
TS 15 pipe 2,Pipes,,,Pieces,2,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,022434539,
20 liters oil,Oil,,,Pieces,40,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
Air Compressor-columbia 10HP,Compressor,,,Pieces,2,,,20/09/2021,0.000,VAT 5%,5,,0.000,0,,,
